TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
44,5, ,autonomous,0,1,0,80.8867017624,1,0,-23.5763744761,20,0,20,-23.5763744761,1,15.5181835965,5,4.03,378.0432481476, ,0, ,0,74,0.135,0,sunny,4.7624309392,0,25.6604862569,0.1207385847
45,5, ,autonomous,0,1,0,80.8867017624,1,0,-13.3235120948,20,0,20,-13.3235120948,1,15.6117829847,4.2,4.2,398.1367201497, ,0, ,0,73,-0.315,0,sunny,4.7624309392,0,22.3068255682,0.0529986366
46,5, ,autonomous,0,1,0,80.8867017624,1,0,-15.244009386,15,0,15,-15.244009386,1,15.6803189722,5,3.82,411.9125097829, ,0, ,0,83,0.21,0,sunny,4.7624309392,0,40.2383931547,-0.0325632143
47,5, ,autonomous,0,1,0,80.8867017624,1,0,-12.9099337398,20,0,20,-12.9099337398,1,15.635232094,3.92,3.71,422.8866240961, ,0, ,0,76,-0.595,0,sunny,4.7624309392,0,82.8319135066,0.0254251523
48,5, ,autonomous,0,1,0,80.8867017624,1,0,-6.4671809658,15,0,15,-6.4671809658,1,15.6724562669,4.27,4.07,431.369165732, ,0, ,0,73,0.355,0,sunny,4.7624309392,0,35.4301345043,-0.017146647
49,5, ,autonomous,0,1,0,81.6145571069,1,0,-7.0361459677,20,0,20,-7.0361459677,1,15.6344111415,4.69,4.48,434.7448047996, ,0, ,0,88,0.415,0,sunny,4.7624309392,0,19.8595182402,0.0215772659
50,5, ,autonomous,0,1,0,81.6337834745,1,0,-6.7945400479,15,0,15,-6.7945400479,1,15.6710657704,4.1,4.07,456.4750992833, ,0, ,0,79,-0.5,0,sunny,4.7624309392,0,-38.6521180866,-0.0080150381
51,5, ,autonomous,0,1,0,81.6337834745,1,0,-4.5399377896,20,0,20,-4.5399377896,1,15.6348898924,4.47,4.23,433.6137368832, ,0, ,0,76,0.265,0,sunny,4.7624309392,0,11.4146232261,0.0187794064
52,5, ,autonomous,0,1,0,81.2986953536,1,0,-0.9854104421,15,0,15,-0.9854104421,1,15.6683798781,4.3,4.04,417.5888420261, ,0, ,0,77,-0.18,0,sunny,4.7624309392,0,-9.1444301938,0.0008329166
53,5, ,autonomous,0,1,0,77.673151751,1,0,2.0841117808,20,0,20,2.0841117808,1,15.6389221812,5,4.11,429.4241422253, ,0, ,0,79,0.385,0,sunny,4.7624309392,0,19.6333858445,0.0072606332
54,5, ,autonomous,0,1,0,76.0965896086,1,0,8.9833134734,15,0,15,8.9833134734,1,15.6647816213,5,4.15,429.700928154, ,0, ,0,79,0.02,0,sunny,4.7624309392,0,5.2581388888,0.0081146304
55,5, ,autonomous,0,1,0,68.3675898375,1,0,24.9943837688,15,0,15,24.9943837688,1,15.6477557579,5,4.13,452.1408871004, ,0, ,0,79,-0.01,0,sunny,4.7624309392,0,-1.3679497333,-0.0065667852
56,5, ,autonomous,0,1,0,67.1508354314,1,0,69.9219797669,15,0,15,69.9219797669,1,15.6606572463,5,4.08,455.8508456033, ,0, ,0,80,-0.025,0,sunny,4.7624309392,0,-48.515860965,0.0138654369
57,5, ,autonomous,0,1,0,73.1989013504,1,0,28.9629535385,15,0,15,28.9629535385,1,15.6553096199,5,4.17,456.1627588724, ,0, ,0,80,0.045,0,sunny,4.7624309392,0,1.0041554325,-0.0180783015
58,5, ,autonomous,0,1,0,72.8747997253,1,0,12.8233722724,15,0,15,12.8233722724,1,15.6559884073,4.51,4.37,460.893211043, ,0, ,0,85,-0.145,0,sunny,4.7624309392,0,24.0599572899,0.0184305288
